Product Number,Type
30340000000A8E80000003F8,Beef Export Rib Bonein 2x2
30340000000A8E80000003FD,Beef Export Rib Bonein 2x2
30340000000A8E80000003FE,Beef Export Rib Bonein 2x2
30340000000A8E80000003FF,Beef Export Rib Bonein 2x2
30340000000A8E8000000400,Beef Export Rib Bonein 2x2
30340000000A8E8000000401,Beef Export Rib Bonein 2x2
30340000000A8E8000000402,Beef Export Rib Bonein 2x2
30340000000A8E8000000403,Beef Export Rib Bonein 2x2
30340000000A8E8000000404,Beef Export Rib Bonein 2x2
30340000000A8E8000000405,Beef Export Rib Bonein 2x2
30340000000AF78000000404,Beef Ribeye Boneless 2x2
30340000000AF78000000405,Beef Ribeye Boneless 2x2
3034000000110300000003F1,Beef Short Loin Short-Cut 0x1
3034000000110300000003F2,Beef Short Loin Short-Cut 0x1
3034000000110300000003F3,Beef Short Loin Short-Cut 0x1
3034000000110300000003F4,Beef Short Loin Short-Cut 0x1
3034000000110300000003F5,Beef Short Loin Short-Cut 0x1
3034000000110300000003FE,Beef Short Loin Short-Cut 0x1
3034000000110300000003FF,Beef Short Loin Short-Cut 0x1
30340000001196C0000003F6,Beef StrpLoin Boneless 0x1 1/4 Trim
30340000001196C0000003FA,Beef StrpLoin Boneless 0x1 1/4 Trim
30340000001196C0000003FB,Beef StrpLoin Boneless 0x1 1/4 Trim
